Date,Time,Biomass,Dissolved_oxygen,pH,T_heater,T_liquid,T_sensor,T_amb,Power,PWM_feed,PWM_heater
08-01-2024_13-16-21,55,0.031,0.0,-3.511,22.437,22.534,21.935,22.066,-0.122,150.0,0.0
08-01-2024_13-16-21,55,0.031,0.0,-3.511,22.426,22.629,21.95,22.067,-0.088,150.0,0.0
08-01-2024_13-16-22,55,0.031,0.0,-3.511,22.421,22.609,21.929,22.066,-0.099,150.0,0.0
08-01-2024_13-16-22,55,0.031,0.0,-3.511,22.428,22.631,21.953,22.064,-0.092,150.0,0.0
08-01-2024_13-16-22,56,0.031,0.0,-3.511,22.422,22.591,21.92,22.063,-0.096,150.0,0.0
08-01-2024_13-16-22,56,0.031,0.0,-3.511,22.424,22.553,21.939,22.066,-0.09,150.0,0.0
08-01-2024_13-16-23,56,0.031,0.0,-3.511,22.426,22.56,21.958,22.065,-0.08,150.0,0.0
08-01-2024_13-16-23,56,0.031,0.0,-3.511,22.435,22.535,21.946,22.063,-0.09,150.0,0.0
08-01-2024_13-16-23,57,0.031,0.0,-3.511,22.424,22.614,21.93,22.067,-0.084,150.0,0.0
08-01-2024_13-16-23,57,0.031,0.0,-3.511,22.427,22.528,21.959,22.07,-0.098,150.0,0.0
08-01-2024_13-16-24,57,0.031,0.0,-3.511,22.425,22.49,21.958,22.059,-0.088,150.0,0.0
08-01-2024_13-16-24,57,0.031,0.0,-3.511,22.425,22.544,21.947,22.065,-0.077,150.0,0.0
08-01-2024_13-16-24,58,0.031,0.0,-3.511,22.439,22.592,21.961,22.061,-0.083,150.0,0.0
08-01-2024_13-16-24,58,0.031,0.0,-3.511,22.424,22.546,21.958,22.059,-0.085,150.0,0.0
08-01-2024_13-16-25,58,0.031,0.0,-3.511,22.439,22.574,21.931,22.065,-0.05,150.0,0.0
08-01-2024_13-16-25,58,0.031,0.0,-3.511,22.429,22.487,21.924,22.065,-0.052,150.0,0.0
08-01-2024_13-16-25,59,0.031,0.0,-3.511,22.428,22.588,21.933,22.07,-0.081,150.0,0.0
08-01-2024_13-16-25,59,0.031,0.0,-3.511,22.43,22.524,21.913,22.072,-0.077,150.0,0.0
08-01-2024_13-16-26,59,0.031,0.0,-3.511,22.422,22.536,21.938,22.059,-0.043,150.0,0.0
08-01-2024_13-16-26,59,0.031,0.0,-3.511,22.421,22.543,21.913,22.059,-0.087,150.0,0.0
08-01-2024_13-16-26,60,0.031,0.0,-3.511,22.418,22.534,21.94,22.064,-0.111,150.0,0.0
